Epoch|	|Train Loss|	|Val Loss|	|Test Loss|	|Train Acc|	|Val Acc|	|Test Acc
1	3.1180858814355097	1.3518558837709385	1.3496094193693768	0.23030303030303031	0.6199095022624435	0.600896860986547
2	1.6844384973699396	1.0374138970180875	1.0523017201188434	0.38181818181818183	0.6380090497737556	0.6547085201793722
3	1.549162412412239	0.9636137528656834	0.9827529614281761	0.4636363636363636	0.7058823529411765	0.7085201793721974
4	1.4480109070286606	0.8589843743527097	0.8766450200380231	0.4696969696969697	0.6877828054298643	0.6771300448430493
5	1.3245736584518895	0.7539500969028041	0.7752386243354045	0.5318181818181819	0.7104072398190046	0.7174887892376681
6	1.3640360752741496	0.6966851590985087	0.7111872691210075	0.5409090909090909	0.7782805429864253	0.7802690582959642
7	1.3189211310762348	0.6502171352977666	0.6627431391600536	0.556060606060606	0.7873303167420814	0.8026905829596412
8	1.2972015236363266	0.5750285772716298	0.5974683986116418	0.556060606060606	0.8552036199095022	0.8654708520179372
9	1.2645010605002895	0.555448202391016	0.5756034436781845	0.546969696969697	0.8461538461538461	0.8251121076233184
10	1.2770722996104846	0.5024293388716236	0.5335934624543639	0.5606060606060606	0.8371040723981901	0.8161434977578476
11	1.1427250732075085	0.46478841639212354	0.5143189320649801	0.5969696969696969	0.8868778280542986	0.8609865470852018
12	1.1599853201345964	0.4429677250158733	0.4590437515166843	0.6	0.8280542986425339	0.8430493273542601
13	1.1443142674186013	0.5064120478759524	0.4982971059901832	0.6	0.8506787330316742	0.8295964125560538
14	1.1778815963051537	0.4807207727324369	0.4966975530701368	0.5848484848484848	0.8280542986425339	0.8116591928251121
15	1.097628408128565	0.37907597732759707	0.3714026164580888	0.6151515151515151	0.8823529411764706	0.8878923766816144
